date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover_rate
20250801,000002,6.44,6.39,6.46,6.39,923604,592783868.1,1.09,-0.78,-0.05,0.0095
20250804,000002,6.37,6.41,6.41,6.35,590304,376646699.83,0.94,0.31,0.02,0.0060999999999999995
20250805,000002,6.41,6.45,6.45,6.39,652634,419615793.7,0.94,0.62,0.04,0.0067
20250806,000002,6.43,6.44,6.45,6.4,568470,365204938.45,0.78,-0.16,-0.01,0.0059
20250807,000002,6.43,6.47,6.48,6.4,776038,500342602.71,1.24,0.47,0.03,0.008
20250808,000002,6.46,6.45,6.47,6.42,514307,331191660.75,0.77,-0.31,-0.02,0.0053
20250811,000002,6.48,6.48,6.52,6.47,821789,533689823.59,0.78,0.47,0.03,0.0085
20250812,000002,6.46,6.47,6.5,6.45,734218,475510584.3,0.77,-0.15,-0.01,0.0076
20250813,000002,6.48,6.46,6.5,6.43,810742,524044608.27,1.08,-0.15,-0.01,0.0083
20250814,000002,6.46,6.43,6.55,6.43,1201423,779372848.4,1.86,-0.46,-0.03,0.0124
20250815,000002,6.43,6.53,6.59,6.42,1595368,1041380521.14,2.64,1.56,0.1,0.016399999999999998
20250818,000002,6.53,6.5,6.56,6.48,1381625,898811495.48,1.23,-0.46,-0.03,0.014199999999999999
20250819,000002,6.54,6.53,6.61,6.51,1624187,1066264303.9,1.54,0.46,0.03,0.0167
20250820,000002,6.52,6.55,6.6,6.49,1299582,847768490.89,1.68,0.31,0.02,0.0134
20250821,000002,6.55,6.56,6.59,6.53,1294784,850028797.91,0.92,0.15,0.01,0.013300000000000001
20250822,000002,6.56,6.56,6.56,6.51,1307699,854125574.77,0.76,0.0,0.0,0.013500000000000002
20250825,000002,6.66,7.16,7.22,6.65,7923898,5619264695.76,8.69,9.15,0.6,0.0816
20250826,000002,6.98,6.99,7.03,6.9,4379464,3051239668.91,1.82,-2.37,-0.17,0.0451
20250827,000002,6.95,6.74,7.01,6.74,2976152,2042648128.25,3.86,-3.58,-0.25,0.030600000000000002
20250828,000002,6.75,6.77,6.81,6.62,2119089,1425708353.15,2.82,0.45,0.03,0.0218
20250829,000002,6.89,6.79,6.92,6.78,1979393,1354532777.15,2.07,0.3,0.02,0.0204
20250901,000002,6.76,6.81,6.86,6.7,1406825,953846377.4,2.36,0.29,0.02,0.014499999999999999
20250902,000002,6.8,6.72,6.89,6.68,2060250,1394222969.26,3.08,-1.32,-0.09,0.0212
20250903,000002,6.75,6.58,6.79,6.56,1745943,1158963334.34,3.42,-2.08,-0.14,0.018000000000000002
20250904,000002,6.59,6.53,6.6,6.48,1537225,1005294603.72,1.82,-0.76,-0.05,0.0158
20250905,000002,6.53,6.59,6.59,6.49,1171091,766112847.29,1.53,0.92,0.06,0.0121
20250908,000002,6.72,6.76,6.89,6.72,2320377,1572093121.29,2.58,2.58,0.17,0.0239
20250909,000002,6.79,6.86,6.91,6.74,2179398,1494592694.43,2.51,1.48,0.1,0.022400000000000003
20250910,000002,6.81,6.86,6.86,6.76,1397197,950570518.82,1.46,0.0,0.0,0.0144
20250911,000002,6.82,6.83,6.84,6.73,1462905,992115320.67,1.6,-0.44,-0.03,0.0151
20250912,000002,6.83,6.94,7.14,6.83,3220892,2235885453.75,4.54,1.61,0.11,0.0331
